EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 26-03-2018
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 HU   : daily Humidity in 1 %
23-27 Q_HU : quality code for HU (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, BORDEAUX-MERIGNAC (STAID: 34).
Blended and updated with sources: 175646 907510 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   HU, Q_HU
175646,19210531,   60,    0
175646,19210601,   85,    0
175646,19210602,   50,    0
175646,19210603,   49,    0
175646,19210604,   72,    0
175646,19210605,   62,    0
175646,19210606,   80,    0
175646,19210607,   77,    0
175646,19210608,   88,    0
175646,19210609,   72,    0
175646,19210610,   71,    0
175646,19210611,   61,    0
175646,19210612,   50,    0
175646,19210613,   35,    0
175646,19210614,   51,    0
175646,19210615,   46,    0
175646,19210616,   42,    0
175646,19210617,   40,    0
175646,19210618,   40,    0
175646,19210619,   52,    0
175646,19210620,   60,    0
175646,19210621,   61,    0
175646,19210622,   43,    0
175646,19210623,   38,    0
175646,19210624,   37,    0
175646,19210625,   72,    0
175646,19210626,   46,    0
175646,19210627,   49,    0
175646,19210628,   52,    0
175646,19210629,   65,    0
175646,19210630,   76,    0
175646,19210701,   78,    0
175646,19210702,   48,    0
175646,19210703,   49,    0
175646,19210704,   41,    0
175646,19210705,   41,    0
175646,19210706,   36,    0
175646,19210707,   19,    0
175646,19210708,   44,    0
175646,19210709,   34,    0
175646,19210710,   37,    0
175646,19210711,   39,    0
175646,19210712,   41,    0
175646,19210713,   51,    0
175646,19210714,   49,    0
175646,19210715,   60,    0
175646,19210716,   46,    0
175646,19210717,   52,    0
175646,19210718,   63,    0
175646,19210719,   73,    0
175646,19210720,   51,    0
175646,19210721,   55,    0
175646,19210722,   46,    0
175646,19210723,   54,    0
175646,19210724,   65,    0
175646,19210725,   50,    0
175646,19210726,   49,    0
175646,19210727,   34,    0
175646,19210728,   61,    0
175646,19210729,   45,    0
175646,19210730,   47,    0
175646,19210731,   48,    0
175646,19210801,   39,    0
175646,19210802,   58,    0
175646,19210803,   52,    0
175646,19210804,   46,    0
175646,19210805,   26,    0
175646,19210806,   50,    0
175646,19210807,   46,    0
175646,19210808,   53,    0
175646,19210809,   40,    0
175646,19210810,   90,    0
175646,19210811,   80,    0
175646,19210812,   92,    0
175646,19210813,   60,    0
175646,19210814,   61,    0
175646,19210815,   80,    0
175646,19210816,   59,    0
175646,19210817,   84,    0
175646,19210818,   81,    0
175646,19210819,   96,    0
175646,19210820,   73,    0
175646,19210821,   78,    0
175646,19210822,   77,    0
175646,19210823,   85,    0
175646,19210824,   71,    0
175646,19210825,   72,    0
175646,19210826,   54,    0
175646,19210827,   58,    0
175646,19210828,   51,    0
175646,19210829,   66,    0
175646,19210830,   58,    0
175646,19210831,   46,    0
175646,19210901,   56,    0
175646,19210902,   92,    0
175646,19210903,   79,    0
175646,19210904,   75,    0
175646,19210905,   62,    0
175646,19210906,   76,    0
175646,19210907,   70,    0
175646,19210908,   70,    0
175646,19210909,   76,    0
175646,19210910,   78,    0
175646,19210911,   77,    0
175646,19210912,   70,    0
175646,19210913,   66,    0
175646,19210914,   67,    0
175646,19210915,   76,    0
175646,19210916,   69,    0
175646,19210917,   57,    0
175646,19210918,   62,    0
175646,19210919,   83,    0
175646,19210920,   88,    0
175646,19210921,   79,    0
175646,19210922,   83,    0
175646,19210923,   73,    0
175646,19210924,   70,    0
175646,19210925,   70,    0
175646,19210926,   70,    0
175646,19210927,   46,    0
175646,19210928,   61,    0
175646,19210929,   61,    0
175646,19210930,   53,    0
175646,19211001,   52,    0
175646,19211002,   74,    0
175646,19211003,   52,    0
175646,19211004,   69,    0
175646,19211005,   61,    0
175646,19211006,   68,    0
175646,19211007,   62,    0
175646,19211008,   92,    0
175646,19211009,   80,    0
175646,19211010,   56,    0
175646,19211011,   82,    0
